FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,0,1394,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , , ,Yucatán,Mexico,-89.072061, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Lima-Cordón, R. A., Cahan, S. H., McCann, C., Dorn, P. L., Justi, S. A., Rodas, A., ... & Stevens, L. (2021). Insights from a comprehensive study of Trypanosoma cruzi: A new mitochondrial clade restricted to North and Central America and genetic","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[1394 1395 3835],MunicipioCounty different, ,TRUE,21.051103,TRUE
1,Point,2,3617,Triatoma,dimidiata, , ,Domicilio | Peridomicilio,HUMAN_OBSERVATION,4, , , , , ,Campeche,Campeche,Mexico,-90.534909, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"Tamay-Segovia;Alejandre-Aguilar;Martínez;Villalobos;Zavala-díaz de la Serna;de la Torre;Laclette;Blum-Domínguez;Espinoza----Tamay-Segovia, P., Alejandre-Aguilar, R., Martínez, F., Villalobos, G., Zavala-díaz de la Serna, F. J., de la Torre, P., Lacl","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[3617 13790],Location different, ,TRUE,19.830125, 
2,Point,3,3654,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , ,"Matías Romero Avendaño, La Victoria",Tehuantepec,Oaxaca,Mexico,-95.976944, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[3654 3911 13415 13571 13712 16300],MunicipioCounty different, ,TRUE,17.319444, 
3,Point,5,4526,Triatoma,dimidiata, , ,Domicilio,HUMAN_OBSERVATION,2, , , , , ,San Antonio,San Luis Potosí,Mexico,-98.86705, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Pita, S., Lorite, P., Cuadrado, A., Panzera, Y., De Oliveira, J., Alevi, K. C. C., ... & Panzera, F. (2022). High chromosomal mobility of r DNA clusters in holocentric chromosomes of Triatominae, vectors of Chagas disease (Hemiptera?Reduviidae).","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,"[4526 11416 11536 11662 11817 12133 12316 12481 12572 12973 13414 13501
 13514 13532 13636 13743 13770 13969 14100]",Location different, ,TRUE,21.609699, 
4,Point,6,4927,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,2, , , , , ,Felipe Carrillo Puerto,Quintana Roo,Mexico,-88.374313, ,Google Earth,9, , , ,2007,0,0, , , , , , , , , ,"nan----Dorn, P. L., de la Rúa, N. M., Axen, H., Smith, N., Richards, B. R., Charabati, J., Suarez, J., Woods, A., Pessoa, R., Monroy, C., Kilpatrick, C. W., & Stevens, L. (2016). Hypothesis testing clarifies the systematics of the main Central American","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,20.202027, 
5,Point,7,5944,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , ,Santiago Tuxtla,Veracruz,Mexico,-94.96889, ,Google Earth,9, , , ,1997,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,17.93667, 
6,Point,8,5953,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , ,Huatusco,Veracruz,Mexico,-96.96487, ,Google Earth,9, , , ,1998,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,19.1531, 
7,Point,9,5954,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , ,Tihuatlán,Veracruz,Mexico,-97.35466, ,Google Earth,9, , , ,1998,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.40518, 
8,Point,10,5961,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , ,Santiago Tuxtla,Veracruz,Mexico,-95.50278, ,Google Earth,9, , , ,1998,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,18.30833, 
9,Point,11,5962,Triatoma,dimidiata, , , ,HUMAN_OBSERVATION,0, , , , , ,Moloacán,Veracruz,Mexico,-94.25806, ,Google Earth,9, , , ,1997,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,17.91167, 
