FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,7,19607,Paratriatoma,lecticularia, , ,Domiciliar y peridomiciliar,Trampas de luz negra y colecta manual, ,Se reporta un indice de infección natural general de 33.33,Se reporta un total de 2 hembras y 0 machos, , ,"Buenavista , Ejido San Juan de Vaquerías",General Terán,Nuevo León,Mexico,-99.4175,145, ,0, , , ,1991,3,0,1991,11, , , ,III-1991 a XI-1991, , , ,Martínez-Ibarra et al. 1992a,E. A. Rebollar-Téllez,2,[19607 19609 19712 19713],MunicipioCounty different, ,TRUE,25.08361,TRUE
1,Point,10,19612,Paratriatoma,lecticularia, , ,Domiciliar y peridomiciliar,Trampas de luz negra y colecta manual, ,Se reporta un indice de infección natural general de 33.33,Se reportan 4 hembras y 0 machos, , ,"San Juan de Vaquerías, Ejido San Juan de Vaquerías",General Terán,Nuevo León,Mexico,-100.1336,145, ,0, , , ,1991,3,0,1991,11, , , ,III-1991 a XI-1991, , , ,Martínez-Ibarra et al. 1992b,E. A. Rebollar-Téllez,2,[19612 19616 19733 19734],MunicipioCounty different, ,TRUE,25.0525,TRUE
2,Point,15,19617,Paratriatoma,lecticularia, , ,Domiciliar y peridomiciliar,Trampas de luz negra y colecta manual, ,Se reporta un indice de infección natural general de 33.33,Se reporta un total de 2 hembras y 0 machos, , ,"San Pedro, Ejido San Juan de Vaquerías",General Terán,Nuevo León,Mexico,-99.10194,145, ,0, , , ,1991,3,0,1991,11, , , ,III-1991 a XI-1991, , , ,Martínez-Ibarra et al. 1992a,E. A. Rebollar-Téllez,2,[19617 19618 19731 19732 19735 19736],Location different, ,TRUE,25.10222,TRUE
3,Point,19,19627,Paratriatoma,lecticularia,occulta, , , , ,No hay datos de infeccion natural,"Se menciona la presencia de la especie, aunque no hay datos de total capturado, estrucura de edades o proporción sexual.  Aunque en Tay et al 1979 se cita a Ryckman 1962, en la literatura citada no aparece la cita de Ryckman 1962.", , ,China,China,Nuevo León,Mexico,-99.239638,138, ,0, , , ,1991,3,0,1991,11, , , , , , , ,Tay et al. 1979,E. A. Rebollar-Téllez,2,[19627 19628],all agree, ,TRUE,25.705908,TRUE
4,Point,21,19629,Paratriatoma,lecticularia,occulta, , , , ,No hay datos de infeccion natural,"Sólo se menciona la presencia de la especie, sin más información acerca de total capurado, estructura edades o proporción sexual", , ,Monterrey,Monterrey,Nuevo León,Mexico,-100.316113,534, ,0, , , ,1991,3,0,1991,11, , , , , , , ,Tay et al. 1979,E. A. Rebollar-Téllez,2,[19629 19631],Location different, ,TRUE,25.686614,TRUE
5,Point,27,19843,Paratriatoma,lecticularia, ,H, , , ,No hay datos de infeccion natural,Debajo de las etiquetas estan montadas un par de patas, , ,"San Pedro, Ejido San Juan de Vaquerías",General Terán,Nuevo León,Mexico,-99.642778,290, ,0, , , ,2011,6,0,2011,11, , , , , , , ,Colección de Triatominae Laboratorio Entomología Médica FCB-UANL,E. A. Rebollar-Téllez,2,[19843 19876],all agree, ,TRUE,25.274444,TRUE
6,Point,29,20339,Triatoma,lecticularia, , , ,HUMAN_OBSERVATION, , , , , , ,"Timberlake Research Station, Mills Co., TX, USA",Texas,United States,-98.622236,0, ,46, , , ,2022,4,9,0,0, ,21:36:00-05:00, , , , , ,RightsHolder:Annika Lindqvist----https://www.inaturalist.org/observations/111551672,"iNaturalist contributors, iNaturalist (2023). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2023-03-31.",CONTINENT_DERIVED_FROM_COORDINATES,[20339 20345],MunicipioCounty different, ,TRUE,31.269488, 
7,Point,33,20553,Triatoma,lecticularia, ,MALE, ,HUMAN_OBSERVATION, , , , , , ,"Evans Dr, Oneonta, AL, US",Alabama,United States,-86.550488,0, ,3533, , , ,2021,6,11,0,0, ,16:12:57Z, , , , , ,RightsHolder:vphollyhill----https://www.inaturalist.org/observations/82597088,"iNaturalist contributors, iNaturalist (2023). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2023-03-31.",COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,33.851419, 
8,Point,34,20935,Triatoma,lecticularia, ,MALE, ,HUMAN_OBSERVATION, , , , , , ,"Baylor County, TX, USA",Texas,United States,-99.275555,0, ,204, , , ,2017,9,3,0,0, ,19:43:00-05:00, , , , , ,RightsHolder:Russell Pfau----https://www.inaturalist.org/observations/7818506,"iNaturalist contributors, iNaturalist (2023). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2023-03-31.",COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,33.552096, 
9,Point,35,21050,Triatoma,lecticularia, , , ,HUMAN_OBSERVATION, , , , , , ,"Caldwell County, TX, USA",Texas,United States,-97.677137,0, ,4, , , ,2020,6,6,0,0, ,21:30:00-05:00, , , , , ,RightsHolder:Jeff McIntyre----https://www.inaturalist.org/observations/48970529,"iNaturalist contributors, iNaturalist (2023). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2023-03-31.",COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,29.927431, 
