FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,0,3515,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santa María Tonameca, Soluta",Pochutla,Oaxaca,Mexico,-96.733333, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[3515 3651 3937],MunicipioCounty different, ,TRUE,15.784722, 
1,Point,1,3522,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santiago Jamiltepec, Santiago Jamiltepec",Jamiltepec,Oaxaca,Mexico,-97.823333, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,all agree, ,TRUE,16.280556, 
2,Point,2,3530,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santiago Llano Grande, Santiago Llano Grande",Jamiltepec,Oaxaca,Mexico,-97.934167, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.676944, 
3,Point,3,3544,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santos Reyes Nopala, Santos Reyes Nopala",Juquila,Oaxaca,Mexico,-97.143611, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.105833, 
4,Point,4,3549,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santo Domingo Ingenio, Santo Domingo Ingenio",Juchitán,Oaxaca,Mexico,-94.766667, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.5875, 
5,Point,5,3644,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santa María Tonameca, Tilzapote",Pochutla,Oaxaca,Mexico,-96.793056, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[3644 3802 3849 3850],MunicipioCounty different, ,TRUE,15.738889, 
6,Point,6,3663,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"San Juan Guichicovi, Yugoxi",Tehuantepec,Oaxaca,Mexico,-95.149444, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.994444, 
7,Point,7,3788,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"San Pedro Jocotipac, Cerro de la Cruz",Cuicatlán,Oaxaca,Mexico,-96.659722, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,18.213333, 
8,Point,8,3803,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santa María Zacatepec, San Juan Viejo",Pochutla,Oaxaca,Mexico,-96.941667, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,15.818889, 
9,Point,9,3805,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santiago Pinotepa Nacional, Cerro de la Esperanza",Jamiltepec,Oaxaca,Mexico,-97.978889, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.2125, 
10,Point,10,3807,Triatoma,mazzottii, , , ,HUMAN_OBSERVATION, , , , , ,"Santiago Pinotepa Nacional, El Ciruelo",Jamiltepec,Oaxaca,Mexico,-98.256944, , ,0, , , ,1996,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Ordoñez, R., Cruz-Celis, A., Alvear, A. L., Chavez, V., Lopez, R., Pintor, J. R., Gama, F., & Carrillo, S. (2000). Distribution of domestic Triatominae and stratification of Chagas Disease transmission in Oaxaca, Mexico. Medical an","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,16.317778, 
