FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,0,6125,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,León,Guanajuato,Mexico,-100.59608, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.97441, 
1,Point,1,6126,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Victoria,Guanajuato,Mexico,-100.21608, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[6126 9929 11621],Location different, ,TRUE,21.21146, 
2,Point,2,6127,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Jerecuaro,Guanajuato,Mexico,-100.62111, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,20.16917, 
3,Point,3,6128,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Comonfort,Guanajuato,Mexico,-100.79254, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.61516, 
4,Point,4,6129,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,San Miguel de Allende,Guanajuato,Mexico,-101.27748, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[6129 6167],MunicipioCounty different, ,TRUE,21.01527, 
5,Point,5,6130,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Tierra Blanca,Guanajuato,Mexico,-100.49728, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.55767, 
6,Point,6,6131,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Pénjamo,Guanajuato,Mexico,-101.79653, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,20.22144, 
7,Point,7,6132,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Espíritu Santo,Guanajuato,Mexico,-100.65415, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.64733, 
8,Point,10,6136,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Guanajuato,Guanajuato,Mexico,-101.81917, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.66417, 
9,Point,11,6138,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,2, , , , , ,Comonfort,Guanajuato,Mexico,-100.37436, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,MunicipioCounty different, ,TRUE,20.99075, 
10,Point,12,6140,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Tierra Blanca,Guanajuato,Mexico,-100.65416, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,20.32883, 
11,Point,13,6141,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,San Diego de la Unión,Guanajuato,Mexico,-100.87293, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,21.46554, 
12,Point,14,6143,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Tierra Blanca,Guanajuato,Mexico,-100.23729, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[6143 6152],Location different, ,TRUE,21.08302, 
13,Point,15,6144,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Santa Catarina,Guanajuato,Mexico,-100.05167, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[6144 11049 11291 11666],Location different, ,TRUE,21.13917, 
14,Point,16,6149,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Jaral del Progreso,Guanajuato,Mexico,-101.06834, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,20.37354, 
15,Point,17,6151,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Celaya,Guanajuato,Mexico,-100.83809, ,Google Earth,9, , , ,1999,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,20.53951, 
16,Point,19,6153,Triatoma,mexicana, , , ,HUMAN_OBSERVATION,0, , , , , ,Rioverde,San Luis Potosí,Mexico,-99.82194, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Vidal-Acosta, V., Ibáñez-Bernal, S., & Martínez-Campos, C. (2000). Infección natural de chinches Triatominae con Trypanosoma cruzi asociadas a la vivienda humana en México. Salud Pública de México, 42(6), 496–503.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[6153 11147],Location different, ,TRUE,21.76722, 
