FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,0,119,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Riverside,California,United States,-117.396156, ,GeoLocate,0, , , ,2018,7,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[119 6641],Location different, ,TRUE,33.953349, 
1,Point,1,327,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Jeff Davis,Texas,United States,-104.0833, ,GeoLocate,0, , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,30.7, 
2,Point,2,780,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Orange,California,United States,-117.853112, ,GeoLocate,0, , , ,2019,9,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,33.787794, 
3,Point,3,786,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Los Angeles,California,United States,-118.243685, ,GeoLocate,0, , , ,2019,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[786 813],Location different, ,TRUE,34.052234, 
4,Point,4,793,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Trinity,California,United States,-123.1667, ,GeoLocate,0, , , ,2019,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,40.5833, 
5,Point,5,797,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Kern,California,United States,-117.6333, ,GeoLocate,0, , , ,2019,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,34.9833, 
6,Point,7,827,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,San Diego,California,United States,-117.157255, ,GeoLocate,0, , , ,2019,9,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,32.715329, 
7,Point,14,1582,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Uvalde,Texas,United States,-99.786168, ,GeoLocate,0, , , ,2013,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,29.209684, 
8,Point,16,2222,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Ventura,California,United States,-122.133333, ,GeoLocate,0, , , ,2018,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,37.421389, 
9,Point,19,2265,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Yuba,California,United States,-121.57052, ,GeoLocate,0, , , ,2018,9,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,39.119059, 
