FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,1,4641,Triatoma,recurva, , ,Silvestre,HUMAN_OBSERVATION,2, , , , , ,Pima,Arizona,United States,-110.974711, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Pita, S., Lorite, P., Cuadrado, A., Panzera, Y., De Oliveira, J., Alevi, K. C. C., ... & Panzera, F. (2022). High chromosomal mobility of r DNA clusters in holocentric chromosomes of Triatominae, vectors of Chagas disease (Hemiptera?Reduviidae).","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,32.222607, 
1,Point,5,4733,Triatoma,recurva, , ,Peridomicilio,HUMAN_OBSERVATION,4, ,samplingProtocol:Búsqueda activa----samplingEffort:1 hs hombre/1 persona/ domicilio, , ,"Guaymas, Independencia",Guaymas,Sonora,Mexico,-110.89278, , ,0, , , ,1998,0,0, , , , , , , , , ,"nan----Paredes, E. A., Miranda, J. V., Torres, B. N., Aguilar, R. A., & Romero, R. C. (2001). Vectorial importance of triatominae bugs (Hemiptera: Reduviidae) in Guaymas, Mexico. Revista latinoamericana de microbiologia, 43(3), 119–122.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[4733 4744 4748 4749 4752 4753 4762],all agree, ,TRUE,27.92501,TRUE
2,Point,9,4860,Triatoma,recurva, ,MALE,Peridomicilio,HUMAN_OBSERVATION,1, , , , ,"Rimrock, Montezuma Well",Yavapai,Arizona,United States,-111.76011, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1958). Conenose bug and trypanosome observations for 1957 from southwestern national parks and monuments. Bulletin, Southern California Academy of Sciences, 57(2), 113–114.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,all agree, ,TRUE,34.65012, 
3,Point,10,5265,Triatoma,recurva, , ,Silvestre,HUMAN_OBSERVATION,1, , , , ,"Tucson, Colossal Cave Mountain Park",Pima,Arizona,United States,-110.633603, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Klotz, S.A., Schmidt, J.O., Dorn, P. L., Ivanyi, C., Sullivan, K. R., & Stevens, L. (2013). Free-roaming Kissing Bugs, Vectors of Chagas Disease, Feed Often on Humans in the Southwest. The American Journal of Medicine. https://doi.org/10.1016/j.am","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,all agree, ,TRUE,32.062013, 
4,Point,11,5266,Triatoma,recurva, , ,Silvestre,HUMAN_OBSERVATION,1, , , , , ,Cochise,Arizona,United States,-109.92841, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Klotz, S.A., Schmidt, J.O., Dorn, P. L., Ivanyi, C., Sullivan, K. R., & Stevens, L. (2013). Free-roaming Kissing Bugs, Vectors of Chagas Disease, Feed Often on Humans in the Southwest. The American Journal of Medicine. https://doi.org/10.1016/j.am","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,31.44815, 
5,Point,12,7920,Triatoma,recurva, , , ,HUMAN_OBSERVATION,0, , , , , ,San Luis Río Colorado,Sonora,Mexico,-114.7744, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Ibarra-Cerdeña, C., Zandívar-Riverón, A., Peterson, A. T., Sanchez-Cordero, V., & Ramsey, J. M. (2014). Phylogeny and Niche Conservatism in North and Central American Triatomine Bugs (Hemiptera: Reduviidae: Triatominae), Vectors of Chagas’ Di","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,32.4631, 
6,Point,13,7978,Triatoma,recurva, , , ,HUMAN_OBSERVATION,0, , , , , ,Amador,California,United States,-120.84361, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Peterson, A. T., Carmona-Castro, O., Moo-Llanes, D. A., Nakazawa, Y., Butrick, M., Tun-Ku, E., de la Cruz-Félix, K., & Ibarra-Cerdeña, C. (2015). Atlas of Mexican Triatominae (Reduviidae: Hemiptera) and vector transmission of Chag","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[7978 9007],all agree, ,TRUE,38.48194, 
7,Point,14,8041,Triatoma,recurva, , , ,HUMAN_OBSERVATION,0, , , , , ,Culiacán,Sinaloa,Mexico,-107.6233, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Ibarra-Cerdeña, C., Zandívar-Riverón, A., Peterson, A. T., Sanchez-Cordero, V., & Ramsey, J. M. (2014). Phylogeny and Niche Conservatism in North and Central American Triatomine Bugs (Hemiptera: Reduviidae: Triatominae), Vectors of Chagas’ Di","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,MunicipioCounty different, ,TRUE,24.7683, 
8,Point,15,8065,Triatoma,recurva, , , ,HUMAN_OBSERVATION,0, , , , , ,Napa,California,United States,-122.28444, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Ramsey, J. M., Peterson, A. T., Carmona-Castro, O., Moo-Llanes, D. A., Nakazawa, Y., Butrick, M., Tun-Ku, E., de la Cruz-Félix, K., & Ibarra-Cerdeña, C. (2015). Atlas of Mexican Triatominae (Reduviidae: Hemiptera) and vector transmission of Chag","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,[8065 8805],Location different, ,TRUE,38.29722, 
9,Point,16,8286,Triatoma,recurva, , , ,HUMAN_OBSERVATION,0, , , , , ,Guazapares,Chihuahua,Mexico,-108.2797, , ,0, , , ,0,0,0, , , , , , , , , ,"nan----Ibarra-Cerdeña, C., Zandívar-Riverón, A., Peterson, A. T., Sanchez-Cordero, V., & Ramsey, J. M. (2014). Phylogeny and Niche Conservatism in North and Central American Triatomine Bugs (Hemiptera: Reduviidae: Triatominae), Vectors of Chagas’ Di","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES, ,Location different, ,TRUE,27.3722, 
