FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
0,Point,0,32,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Marshall,Alabama,United States,-85.8833, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,MunicipioCounty different, ,TRUE,33.8167, 
1,Point,1,53,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Brazos,Texas,United States,-98.1167, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[43 53 225 227 249 256 725 1040 2663 4463],MunicipioCounty different, ,TRUE,32.65,TRUE
2,Point,2,64,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Parker,Texas,United States,-96.621938, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[64 1095 1098 1828 1832 1835 1839 1842 1844 1916 4496],Location different, ,TRUE,33.055397, 
3,Point,3,88,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Hays,Texas,United States,-97.872228, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,"[61 63 88 127 133 1419 1432 1770 1775 1862 2466 2616 2700 2704 2742 2746
 2747 2939 4495 7444]",Location different, ,TRUE,30.122712, 
4,Point,4,110,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Fannin,Texas,United States,-97.235824, ,GeoLocate, , , , ,2018,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,28.695549, 
5,Point,5,111,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Doniphan,Kansas,United States,-95.080803, ,GeoLocate, , , , ,2018,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,39.641662, 
6,Point,7,130,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Suwannee,Florida,United States,-82.956521, ,GeoLocate, , , , ,2018,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,30.38911, 
7,Point,8,132,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Lampasas,Texas,United States,-98.181696, ,GeoLocate, , , , ,2018,7,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,31.063784, 
8,Point,11,185,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Bastrop,Texas,United States,-97.31527, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[185 190 1445 1496 2698 2705 2710],Location different, ,TRUE,30.110495, 
9,Point,12,186,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Tarrant,Texas,United States,-97.077232, ,GeoLocate, , , , ,2018,7,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,32.816796, 
10,Point,13,218,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Coryell,Texas,United States,-97.618353, ,GeoLocate, , , , ,2016,6,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,31.546274, 
11,Point,14,223,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Somerset,Maryland,United States,-77.096089, ,GeoLocate, , , , ,2020,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,38.965944, 
12,Point,18,231,Triatoma,sanguisuga, , , ,HUMAN_OBSERVATION,1, , , , , ,Williamson,Texas,United States,-97.8167, ,GeoLocate, , , , ,2018,7,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,"[172 179 231 282 1915 2257 2588 2701 2702 2703 2707 2709 2730 2731 2732
 2740 2745 2748]",MunicipioCounty different, ,TRUE,30.2167,TRUE
